title,subtitle,authors,publishedDate,industryIdentifiers,previewLink,publicDomain,pdfDownloadLink,epubDownloadLink
The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose,,Protap Chandra Roy,2019-09-15,"9389525365,9789389525366",http://books.google.com/books?id=bKYLygEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=82&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa. Translated Into English Prose from the Original Sanskrit Text Volume 11,,"HardPress,Roy Pratap Chandra 1842-1895",2013-01,"1313692557,9781313692557",http://books.google.com/books?id=iciznQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=83&source=gbs_api,False,,
"The Mahabharata of Krishna-Dwaipayana Vyasa, Vol. 6",Translated Into English Prose (Classic Reprint),Pratapa Chandra Ray,2017-12-20,"0484181327,9780484181327",http://books.google.com/books?id=8rR3swEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=84&source=gbs_api,False,,
"The Mahabharata of Krishna-Dwaipayana Vyasa, Vol. 2",Translated Into English Prose From the Original Sanskrit Text (Classic Reprint),Pratap Chandra Roy,2018-02-28,"0666577102,9780666577108",http://books.google.com/books?id=NkV8swEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=85&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose. Calya Parva,,1889,OCLC:1083427386,http://books.google.com/books?id=xz79wQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=86&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose. Swargarohanika Parva,,1896,OCLC:1083430048,http://books.google.com/books?id=N3PpwQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=87&source=gbs_api,False,,
MAHABHARATA OF KRISHNA-DWAIPAY,,Anonymous,2016-08-29,"1374394939,9781374394933",http://books.google.com/books?id=rgYlvgAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=88&source=gbs_api,False,,
MAHABHARATA OF KRISHNA-DWAIPAY,,Anonymous,2016-08-28,"1372420762,9781372420764",http://books.google.com/books?id=LO1UvgAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=89&source=gbs_api,False,,
MAHABHARATA OF KRISHNA-DWAIPAY,,Anonymous,2016-08-29,"1374393738,9781374393738",http://books.google.com/books?id=HjQMvgAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=90&source=gbs_api,False,,
"The Mahabharata of Krishna-Dwaipayana Vyasa, Vol. 10","Translated Into English Prose from the Original Sanskrit Text; Santi Parva (Part III), and Anusasana Parva (Part I) (Classic Reprint)",Pratap Chandra Roy,2017-11-20,"0331533022,9780331533026",http://books.google.com/books?id=9KEotAEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=91&source=gbs_api,False,,
“The” Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose from the Original Sanskrit Text. by Pratap Chandra Roy,Pratap Chandra Roy,1955,UCLA:L0078395118,http://books.google.com/books?id=HFRQeHVy7yAC&q=intitle:%27Prose+english+translation%27+intitle:Mahabharata&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=92&source=gbs_api,False,,
MAHABHARATA OF KRISHNA-DWAIPAY,,Anonymous,2016-08-27,"1371465916,9781371465919",http://books.google.com/books?id=pdUsvgAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=93&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose. Asramavasika Parva,,1895,OCLC:1083429093,http://books.google.com/books?id=sjrAwQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=94&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose (Classic Reprint),Pratapacandra Raya,2017-07-18,"0282401962,9780282401962",http://books.google.com/books?id=iPXmswEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=95&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose. Vana Parva,,1884,OCLC:1097183349,http://books.google.com/books?id=5aQPxQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=96&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose. Drona Parva,,1888,OCLC:1083427105,http://books.google.com/books?id=u7PLwQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=97&source=gbs_api,False,,
"The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose, Vana Parva, Part 2 - Scholar's Choice Edition",,,2015-02-17,"1296077128,9781296077129",http://books.google.com/books?id=aLFCrgEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=98&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose. Canti Parva,,1890,OCLC:1089927072,http://books.google.com/books?id=3BKfwwEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=99&source=gbs_api,False,,
