title,subtitle,authors,publishedDate,industryIdentifiers,previewLink,publicDomain,pdfDownloadLink,epubDownloadLink
A prose English translation of the Mahabharata : (translated literally from the original Sanskrit text). 7. Drona Parva,,Manmatha Nath Dutt,1897,OCLC:606118515,http://books.google.com/books?id=z-x1jgEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=11&source=gbs_api,False,,
“A” Prose English Translation of the Mahabharata: Adi parva. 1895,,Manmatha Nath Dutt,1895,OCLC:233928072,http://books.google.com/books?id=S-1zxAEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=12&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa. Translated Into English Prose from the Original Sanskrit Text Volume 12,,"Kisari Mohan Ganguli,Pratap Chandra Roy",2015-08-09,"1298613795,9781298613790",http://books.google.com/books?id=HHRFjgEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=13&source=gbs_api,False,,
A Prose English Translation of Mahabharata,Tr. Literally from the Original Sanskrit Text,,1897,OCLC:933782679,http://books.google.com/books?id=SViKjwEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=14&source=gbs_api,False,,
A Prose English Translation of the Mahabharata,Translated Literally from the Original Sanskrit Text; Bhishma Parva (Classic Reprint),Manmathanaatha Dutt,2017-06-04,"0282250557,9780282250553",http://books.google.com/books?id=cHmXswEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=15&source=gbs_api,False,,
A prose English translation of the Mahabharata,,"Shanti Parva,Manmatha Nath Dutt",1903,OCLC:903578363,http://books.google.com/books?id=JU9ergEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=16&source=gbs_api,False,,
A prose English translation of the Mahabharata : (translated literally from the original Sanskrit text). 6. Bhishma Parva,,Manmatha Nath Dutt,1897,OCLC:606118524,http://books.google.com/books?id=u7ogqAAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=17&source=gbs_api,False,,
A prose English translation of the Mahabharata translated literally from the original Sanskrit,Karna Parva,Manmatha Nath Dutt,1901,OCLC:453071964,http://books.google.com/books?id=9oAoQwAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=18&source=gbs_api,False,,
A prose English translation of the Mahabharata : (translated literally from the original Sanskrit text). 13. Anushasana Parva,,Manmatha Nath Dutt,1905,OCLC:634522529,http://books.google.com/books?id=1AH3XwAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=19&source=gbs_api,False,,
A Prose English Translation of the Mahabharata,(translated Literally from the Original Sanskrit Text).. Drona Parva,Manmatha Nath Dutt,1897,OCLC:634519823,http://books.google.com/books?id=58NPYAAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=20&source=gbs_api,False,,
A Prose English Translation of the Mahabharata,(translated Literally from the Original Sanskrit Text).. Swargarohanika Parva,Manmatha Nath Dutt,1905,OCLC:634522571,http://books.google.com/books?id=M-spzQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=21&source=gbs_api,False,,
A prose English translation of the Mahabharata : (translated literally from the original Sanskrit text). 10. Sauptika Parva,,Manmatha Nath Dutt,1902,OCLC:634522204,http://books.google.com/books?id=CnYnnAEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=22&source=gbs_api,False,,
A Prose English Translation of the Mahabharata,(translated Literally from the Original Sanskrit Text).. Shanti Parva,Manmatha Nath Dutt,1903,OCLC:634522301,http://books.google.com/books?id=okUmygAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=23&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose: Adi parva (1893). Sabha parva (1899),,,1884,WISC:89040410326,http://books.google.com/books?id=z7xZAAAAMAAJ&printsec=frontcover&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=24&source=gbs_api,True,http://books.google.com/books/download/The_Mahabharata_of_Krishna_Dwaipayana_Vy.pdf?id=z7xZAAAAMAAJ&hl=&output=pdf&sig=ACfU3U16nqEPHHO_BHM9vLngSmEmLhfsWQ&source=gbs_api,http://books.google.com/books/download/The_Mahabharata_of_Krishna_Dwaipayana_Vy.epub?id=z7xZAAAAMAAJ&hl=&output=epub&source=gbs_api
A Prose English Translation of the Mahabharata,(translated Literally from the Original Sanskrit Text).. Karna Parva,Manmatha Nath Dutt,1901,OCLC:634519875,http://books.google.com/books?id=kNR9ygAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=25&source=gbs_api,False,,
A prose English translation of the Mahabharata : (translated literally from the original Sanskrit text). 18. Swargarohanika Parva,,Manmatha Nath Dutt,1905,OCLC:634522359,http://books.google.com/books?id=dPq-XwAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=26&source=gbs_api,False,,
A prose English translation of the Mahabharata : (translated literally from the original Sanskrit text). 15. Ashramavasika Parva,,Manmatha Nath Dutt,1905,OCLC:634522477,http://books.google.com/books?id=nrkpYAAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=27&source=gbs_api,False,,
A Prose English Translation of the Mahabharata Literally from the Original Snscrit Text,,,1895,OCLC:908451181,http://books.google.com/books?id=LA7WsgEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=28&source=gbs_api,False,,
A prose English translation of the Mahabharata : (translated literally from the original Sanskrit text). 9. Shalya Parva,,Manmatha Nath Dutt,1902,OCLC:634522261,http://books.google.com/books?id=YKBYlQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=29&source=gbs_api,False,,
A prose English translation of the Mahabharata : (translated literally from the original Sanskrit text). 16. Mausala Parva,,Manmatha Nath Dutt,1905,OCLC:634522571,http://books.google.com/books?id=B58_ygAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=30&source=gbs_api,False,,
A prose English translation of the Mahabharata : (translated literally from the original Sanskrit text). 9. Shalya Parva,,Manmatha Nath Dutt,1902,OCLC:935791995,http://books.google.com/books?id=MlRSvgAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=31&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa Translated into English Prose,Adi Parva,Anonymous,2019-11-20,EAN:4057664183552,http://books.google.com/books?id=OKHJDwAAQBAJ&printsec=frontcover&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=32&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose. Sabha Parva,,Krishna-Dwaipayana Vyasa,2010-01,"1407646958,9781407646954",http://books.google.com/books?id=Jp_6RQAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=33&source=gbs_api,False,,
A Prose English Translation of Tha Mahabharata,,Manmatha Nath Dutt,1895,OCLC:604066885,http://books.google.com/books?id=TTB2kgAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=34&source=gbs_api,False,,
"A Prose English Translation of the Mahabharata (translated Literally from the Original Sanskrit Text)... Edited and Published by Manmatha Nath Dutt,...",,,1895,OCLC:460894657,http://books.google.com/books?id=Xq-AQwAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=35&source=gbs_api,False,,
A Prose English Translation of the Mahabharata,(transl. Literally from the Original Sanskrit Text). Udyoga parva,Manmathanātha Dutt,1896,OCLC:935791835,http://books.google.com/books?id=cvp-swEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=36&source=gbs_api,False,,
A Prose English Translation of the Mahabharata,(translated Literally from the Original Sanskrit Text).. Sabha Parva,Manmatha Nath Dutt,1895,OCLC:634519620,http://books.google.com/books?id=snUcYAAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=37&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose,,,1884,WISC:89040410342,http://books.google.com/books?id=jtNZAAAAMAAJ&printsec=frontcover&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=38&source=gbs_api,True,http://books.google.com/books/download/The_Mahabharata_of_Krishna_Dwaipayana_Vy.pdf?id=jtNZAAAAMAAJ&hl=&output=pdf&sig=ACfU3U36Ztx7bvQm1X2rui4Lhfmw25t4KA&source=gbs_api,http://books.google.com/books/download/The_Mahabharata_of_Krishna_Dwaipayana_Vy.epub?id=jtNZAAAAMAAJ&hl=&output=epub&source=gbs_api
The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose,,Kisari Mohan Ganguli,2017-04-03,"1545096627,9781545096628",http://books.google.com/books?id=MITQswEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=39&source=gbs_api,False,,
"A Prose English Translation of the Mahabharata, Translated Literally ... Edited ... by Manmatha Nath Dutt",,MAHĀBHĀRATA.,1895,OCLC:562649763,http://books.google.com/books?id=NqwrMwEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=40&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose - The Original Classic Edition,,Kisari Mohan Ganguli,2012-06,"148615381X,9781486153817",http://books.google.com/books?id=yO1cLwEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=41&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa. Translated Into English Prose from the Original Sanskrit Text; Volume 12,,"Kisari Mohan Ganguli,Pratap Chandra Roy",2018-10-14,"0343031655,9780343031657",http://books.google.com/books?id=xJbcvQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=42&source=gbs_api,False,,
A Prose English Translation of the Mahabharata,Translated Literally from the Original Sanskrit Text. Udyoga Parva,Manmatha Nath Dutt,1896,OCLC:452929501,http://books.google.com/books?id=uW2MXwAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=43&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose Ted Into English Prose,Pratap Chandra Ray,2015-06-02,"1330576276,9781330576274",http://books.google.com/books?id=DeX5swEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=44&source=gbs_api,False,,
"The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose Vana Parva, Part 2",,Hardpress,2016-06-21,"1318724880,9781318724888",http://books.google.com/books?id=nHm1DAEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=45&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose from the Original Sanskrit Text,,1962,UOM:39015048905627,http://books.google.com/books?id=I7MNAAAAIAAJ&q=intitle:%27Prose+english+translation%27+intitle:Mahabharata&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=46&source=gbs_api,False,,
"The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose Vana Parva, Part 1",,Hardpress,2016-06-21,"1318720532,9781318720538",http://books.google.com/books?id=Ko-_DAEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=47&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose Virat,,Kisari Mohan Ganguli,2017-05-17,"1546693335,9781546693338",http://books.google.com/books?id=jgfntAEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=48&source=gbs_api,False,,
"The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose, Volume 1... - Primary Source Edition",,Kisari Mohan Ganguli,2014-02-10,"1294571265,9781294571261",http://books.google.com/books?id=o4v5oAEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=49&source=gbs_api,False,,
A Prose English Translation of the Mahabharata,(translated Literally from the Original Sanskrit Text).. Udyoga Parva,Manmatha Nath Dutt,1896,OCLC:634519729,http://books.google.com/books?id=Zd8HYAAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=50&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipa-Yana Vyasa,Santi Parva,,1981,"8121505933,9788121505932",http://books.google.com/books?id=3e5PAQAACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=51&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose (Classic Reprint),Protap Chandra Roy,2018-01-13,"0428972950,9780428972950",http://books.google.com/books?id=92D3swEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=52&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose Sabha Parva,,Kisari Mohan Ganguli,2017-05-17,"1546693459,9781546693451",http://books.google.com/books?id=RILstAEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=53&source=gbs_api,False,,
A Prose English Translation of the Mahabharata,(translated Literally from the Original Sanskrit Text).. Adi Parva,Manmatha Nath Dutt,1895,OCLC:634519522,http://books.google.com/books?id=hJo0nQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=54&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose,Protap Chandra Roy,2015-06-02,"1451015763,9781451015768",http://books.google.com/books?id=ixtiswEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=55&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa. Translated Into English Prose from the Original Sanskrit Text Volume 1,,"Kisari Mohan Ganguli,Pratap Chandra Roy",2016-04-30,"1354995546,9781354995549",http://books.google.com/books?id=KHwBkAEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=56&source=gbs_api,False,,
"The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose Vana Parva, Part 2",,Kisari Mohan Ganguli,2018-07,"1722136790,9781722136796",http://books.google.com/books?id=HfFruQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=57&source=gbs_api,False,,
The Mahabharata Of Krishna-dwaipayana Vyasa Translated Into English Prose;,,Kisari Mohan Ganguli,2018-10-16,"0343504715,9780343504717",http://books.google.com/books?id=17W3vQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=58&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose. Stree Parva,,1890,OCLC:1083427944,http://books.google.com/books?id=t-nmwQEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=59&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa,Translated Into English Prose from Original Sanskrit Text,Pratāpachandra Rāya,1925,UOM:39015024080536,http://books.google.com/books?id=V89fAAAAMAAJ&q=intitle:%27Prose+english+translation%27+intitle:Mahabharata&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=60&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose Virata Parva,,Hardpress,2016-06-21,"1318722225,9781318722228",http://books.google.com/books?id=HPy_DAEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=61&source=gbs_api,False,,
The Mahabharata of Krishna-Dwaipayana Vyasa Translated Into English Prose Volume 5,,Kisari Mohan Ganguli,2013-09,"1230295763,9781230295763",http://books.google.com/books?id=TWYSnwEACAAJ&dq=intitle:%27Prose+english+translation%27+intitle:Mahabharata&hl=&cd=62&source=gbs_api,False,,
